trial_number,value,state,datetime_start,datetime_complete,duration,param_alpha,param_beta,param_gamma,user_attr_num_completed,user_attr_num_failed,user_attr_avg_completed_makespan,user_attr_avg_computation_time,user_attr_failed_tasks_json
4,11760.0,COMPLETE,2025-04-30T13:54:36.668887,2025-04-30T14:05:56.701840,680.032953,2.722652779793561,1.2691177413333805,0.03846104340360388,0,5,91.4,28.118213844904677,"[{""name"": ""simple4_5subtasks(dc1, dnc2, nd8)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex1_11subtasks(dc2, dnc2, nd(1, 3, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple12_6subtasks(dc2, dnc2)"", ""status"": ""Failed (No Progress)""}, {""name"": ""simple11_6subtasks(dc1, nd(1, 5))"", ""status"": ""Failed (Planning/State Error)""}]"
2,10280.0,COMPLETE,2025-04-30T13:54:36.627176,2025-04-30T14:09:21.955895,885.328719,1.7479083184002089,3.957581382133237,2.5750357472924046,0,5,68.33333333333333,23.228418350266292,"[{""name"": ""simple9_6subtasks(dc1, dnc2, nd3)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple10_6subtasks(dc1, dnc3, nd3)"", ""status"": ""Failed (Planning/State Error)""}]"
3,9540.0,COMPLETE,2025-04-30T13:54:36.664289,2025-04-30T14:09:52.508937,915.844648,3.9369137170685944,1.2632848832843226,2.244510595407246,0,5,61.05,26.372772070532665,"[{""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
7,9540.0,COMPLETE,2025-04-30T13:54:36.761228,2025-04-30T14:11:24.101075,1007.339847,3.860574284766233,4.169880107776886,4.103586887605425,0,5,73.225,31.527516013104467,"[{""name"": ""simple16_7subtasks(dc1, dnc(1, 2))"", ""status"": ""Failed (Planning/State Error)""}]"
1,11020.0,COMPLETE,2025-04-30T13:54:36.582302,2025-04-30T14:14:15.639741,1179.057439,3.257439488764815,2.152372963104715,3.9968397139361502,0,5,73.2,37.002750617964196,"[{""name"": ""simple9_6subtasks(dc1, dnc2, nd3)"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
5,11020.0,COMPLETE,2025-04-30T13:54:36.714085,2025-04-30T14:14:35.694701,1198.980616,3.671231961740167,3.130629483058059,0.43472563919629786,0,5,55.3,47.89544220445678,"[{""name"": ""simple5_5subtasks(dc1, nd(3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex8_15subtasks(dc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))"", ""status"": ""Failed (Planning/State Error)""}]"
9,10280.0,COMPLETE,2025-04-30T13:54:36.816386,2025-04-30T14:16:57.456225,1340.639839,4.205528554020864,2.126685944474666,3.005784513185106,0,5,78.16666666666666,49.605230258964,"[{""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))"", ""status"": ""Failed (Planning/State Error)""}]"
0,9540.0,COMPLETE,2025-04-30T13:54:36.578033,2025-04-30T14:17:42.564664,1385.986631,2.292172395644406,0.38632424142604127,2.3032762057027067,0,5,97.24249999999999,50.09187562321313,"[{""name"": ""complex6_14subtasks(dc1, dnc1, dnc2, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
8,10280.0,COMPLETE,2025-04-30T13:54:36.783602,2025-04-30T14:17:59.837549,1403.053947,4.524056455231865,4.981899506022559,2.0979279883904427,0,5,81.0,68.49455091431737,"[{""name"": ""complex1_11subtasks(dc2, dnc2, nd(1, 3, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex10_20subtasks(nd7->dc1, dnc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}]"
6,10280.0,COMPLETE,2025-04-30T13:54:36.737967,2025-04-30T14:18:09.768798,1413.030831,3.8637761853011474,0.4809037226940147,1.8296190758796838,0,5,56.63333333333333,75.97772446190939,"[{""name"": ""complex10_20subtasks(nd7->dc1, dnc1, dnc2, nd1->nd4, nd(2, 3, 5, 6))"", ""status"": ""Failed (Planning/State Error)""}, {""name"": ""complex5_12subtasks(nd7->dc1, nd(1, 2, 3, 5, 6)"", ""status"": ""Failed (Planning/State Error)""}]"
